Company_ID,Date,Sponsor,Govt,Institute,Foreign,Public
IDLC,31/12/2022,56.66,0.00,27.82,1.16,14.36
IFADAUTOS,30/06/2022,54.87,0.00,27.88,0.08,17.17
IFIC,31/12/2021,6.14,32.75,20.05,1.07,39.99
IFIC1STMF,30/06/2022,20.83,0.00,18.44,0.00,60.73
IFILISLMF1,30/06/2022,1.00,0.00,63.25,7.63,28.12
ILFSL,31/12/2020,41.54,0.00,28.92,0.07,29.47
IMAMBUTTON,30/06/2018,31.53,0.00,9.01,0.00,59.46
INDEXAGRO,30/06/2022,57.77,0.00,22.55,0.00,19.68
INTECH,30/06/2020,3.97,0.00,9.48,0.00,86.55
INTRACO,30/06/2022,30.66,0.00,9.55,0.00,59.79
IPDC,31/12/2022,48.03,21.88,11.42,0.07,18.60
ISLAMIBANK,31/12/2021,51.32,0.00,15.42,20.19,13.07
ISLAMICFIN,31/12/2021,31.18,0.00,17.80,0.00,51.02
ISLAMIINS,31/12/2021,39.49,0.00,8.52,0.00,51.99
ISNLTD,30/06/2022,21.62,0.00,19.41,0.00,58.97
ITC,30/06/2022,51.09,0.00,20.95,0.01,27.95
JAMUNABANK,31/12/2021,48.55,0.00,7.86,0.57,43.02
JAMUNAOIL,30/06/2022,2.90,60.08,28.37,0.28,8.37
JANATAINS,31/12/2021,39.05,0.00,5.36,0.00,55.59
JHRML,30/06/2022,32.32,0.00,37.42,0.00,30.26
JMISMDL,30/06/2022,79.65,0.00,5.60,0.00,14.75
JUTESPINN,30/06/2016,39.82,0.00,24.25,0.00,35.93
KARNAPHULI,31/12/2021,30.85,0.00,2.48,0.00,66.67
KAY&QUE,30/06/2022,31.77,0.00,8.74,0.00,59.49
KBPPWBIL,30/06/2022,30.13,0.00,27.63,0.00,42.24
KDSALTD,30/06/2022,70.06,0.00,7.58,0.00,22.36
KEYACOSMET,30/06/2020,46.27,0.00,9.25,0.00,44.48
KOHINOOR,30/06/2022,50.57,0.00,13.55,0.00,35.88
KPCL,30/06/2022,69.99,0.00,8.96,0.18,20.87
KPPL,30/06/2022,39.76,0.00,2.81,0.00,57.43
KTL,30/06/2021,30.32,0.00,21.62,0.12,47.94
LANKABAFIN,31/12/2021,33.56,0.00,20.96,0.86,44.62
LEGACYFOOT,30/06/2022,30.00,0.00,10.99,0.00,59.01
LHBL,31/12/2022,64.15,0.00,17.04,0.78,18.03
LIBRAINFU,30/06/2020,34.43,0.00,6.30,0.00,59.27
LINDEBD,31/12/2022,60.00,0.00,28.80,0.00,11.20
LOVELLO,30/06/2022,44.65,0.00,20.00,0.00,35.35
LRBDL,30/06/2022,35.70,0.00,23.75,0.06,40.50
LRGLOBMF1,30/09/2022,13.57,0.00,58.27,6.49,21.67
MAKSONSPIN,30/06/2022,30.00,0.00,13.31,0.00,56.69
MALEKSPIN,30/06/2022,47.34,0.00,11.96,0.00,40.70
MARICO,31/03/2022,90.00,0.00,6.07,2.33,1.60
MATINSPINN,30/06/2022,32.72,0.00,42.52,0.00,24.76
MBL1STMF,31/03/2022,10.00,0.00,50.69,0.00,39.31
MEGCONMILK,30/06/2022,50.00,0.00,0.00,0.00,50.00
MEGHNACEM,30/06/2022,49.76,0.00,33.46,0.00,16.78
MEGHNAINS,31/12/2021,30.28,0.00,25.15,0.00,44.57
MEGHNALIFE,31/12/2021,30.54,0.00,21.39,0.00,48.07
MEGHNAPET,30/06/2022,50.00,0.00,0.00,0.00,50.00
MERCANBANK,31/12/2021,36.55,0.00,22.42,4.06,36.97
MERCINS,31/12/2021,33.52,0.00,29.08,0.00,37.40
METROSPIN,30/06/2022,30.09,0.00,20.08,0.00,49.83
MHSML,30/06/2022,39.61,0.00,22.04,0.09,38.26
MIDASFIN,31/12/2021,41.36,0.00,26.41,0.42,31.82
MIDLANDBNK,31/12/2021,78.63,0.00,3.20,0.00,18.17
MIRACLEIND,30/06/2020,30.00,0.00,0.00,0.00,70.00
MIRAKHTER,30/06/2022,48.58,0.00,4.34,0.00,47.08
MITHUNKNIT,30/06/2022,17.20,0.00,17.01,0.00,65.79
